dataset,seed,variant,step,train_loss,cum_flops,compression
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,6,10.72938346862793,712108.7999999998,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,6,10.708157539367676,356054.4000000003,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,6,10.524859428405762,1780272.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,7,10.322978019714355,8307936.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,7,10.479127883911133,4153968.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,7,10.60934829711914,2492380.8000000007,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,7,10.743949890136719,1661587.1999999997,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,7,10.715136528015137,1246190.4000000004,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,7,10.744139671325684,830793.5999999999,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,7,10.63994312286377,415396.8000000004,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,7,10.39655876159668,2076984.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,8,10.070323944091797,9494784.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,8,10.221746444702148,4747392.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,8,10.395743370056152,2848435.2000000007,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,8,10.690597534179688,1898956.7999999996,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,8,10.585884094238281,1424217.6000000003,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,8,10.587697982788086,949478.3999999998,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,8,10.606550216674805,474739.2000000004,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,8,9.926429748535156,2373696.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,9,10.132440567016602,10681632.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,9,10.627395629882812,5340816.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,9,10.61727523803711,3204489.6000000006,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,9,10.662130355834961,2136326.3999999994,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,9,10.555719375610352,1602244.8000000003,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,9,10.612565994262695,1068163.1999999997,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,9,10.616299629211426,534081.6000000004,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,9,10.443523406982422,2670408.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,10,9.645774841308594,11868480.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,10,10.18089771270752,5934240.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,10,10.421552658081055,3560544.000000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,10,10.818096160888672,2373695.9999999995,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,10,10.770912170410156,1780272.0000000005,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,10,10.723525047302246,1186847.9999999998,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,10,10.744948387145996,593424.0000000005,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,10,9.33694076538086,2967120.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,11,9.725092887878418,13055328.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,11,10.405303955078125,6527664.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,11,10.358243942260742,3916598.400000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,11,10.814506530761719,2611065.5999999996,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,11,10.783086776733398,1958299.2000000004,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,11,10.812934875488281,1305532.7999999998,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,11,10.648258209228516,652766.4000000006,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,11,9.652789115905762,3263832.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,12,9.259161949157715,14242176.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,12,9.939855575561523,7121088.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,12,10.160384178161621,4272652.800000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,12,10.599852561950684,2848435.1999999993,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,12,10.582106590270996,2136326.4000000004,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,12,10.634672164916992,1424217.5999999996,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,12,10.623156547546387,712108.8000000006,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,12,9.356600761413574,3560544.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,13,9.469676971435547,15429024.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,13,10.091775894165039,7714512.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,13,10.305437088012695,4628707.200000001,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,13,10.801486015319824,3085804.7999999993,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,13,10.808008193969727,2314353.6000000006,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,13,10.833206176757812,1542902.3999999997,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,13,10.780586242675781,771451.2000000007,19.999999999999982
TransformerLM_LM1B_MultiRuntime_0,7,quant8,13,9.256373405456543,3857256.0,4.0
TransformerLM_LM1B_MultiRuntime_0,7,celo,14,9.470239639282227,16615872.0,1.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_50,14,10.06624984741211,8307936.0,2.0
TransformerLM_LM1B_MultiRuntime_0,7,prune_70,14,10.264065742492676,4984761.6000000015,3.3333333333333326
TransformerLM_LM1B_MultiRuntime_0,7,prune_80,14,10.575593948364258,3323174.3999999994,5.000000000000001
TransformerLM_LM1B_MultiRuntime_0,7,prune_85,14,10.552085876464844,2492380.8000000007,6.666666666666665
TransformerLM_LM1B_MultiRuntime_0,7,prune_90,14,10.435060501098633,1661587.1999999997,10.000000000000002
TransformerLM_LM1B_MultiRuntime_0,7,prune_95,14,10.503922462463379,830793.6000000008,19.999999999999982
