seed,variant,step,train_loss,cum_flops,compression
7,celo,0,10.605388641357422,0.0,1.0
7,prune_50,0,10.506153106689453,0.0,2.0
7,prune_75,0,10.633061408996582,0.0,4.0
7,prune_90,0,10.556692123413086,0.0,10.000000000000002
7,quant8,0,10.481385231018066,0.0,4.0
7,celo,1,10.655204772949219,1186848.0,1.0
7,prune_50,1,10.836387634277344,593424.0,2.0
7,prune_75,1,10.825054168701172,296712.0,4.0
7,prune_90,1,10.74789047241211,118684.79999999997,10.000000000000002
7,quant8,1,10.899292945861816,296712.0,4.0
7,celo,2,10.683704376220703,2373696.0,1.0
7,prune_50,2,10.694664001464844,1186848.0,2.0
7,prune_75,2,10.716805458068848,593424.0,4.0
7,prune_90,2,10.765804290771484,237369.59999999995,10.000000000000002
7,quant8,2,10.684320449829102,593424.0,4.0
7,celo,3,10.727924346923828,3560544.0,1.0
7,prune_50,3,10.897077560424805,1780272.0,2.0
7,prune_75,3,10.91036605834961,890136.0,4.0
7,prune_90,3,10.828852653503418,356054.3999999999,10.000000000000002
7,quant8,3,10.76591968536377,890136.0,4.0
7,celo,4,10.871052742004395,4747392.0,1.0
7,prune_50,4,10.876972198486328,2373696.0,2.0
7,prune_75,4,10.842716217041016,1186848.0,4.0
7,prune_90,4,10.842266082763672,474739.1999999999,10.000000000000002
7,quant8,4,10.866619110107422,1186848.0,4.0
7,celo,5,10.356903076171875,5934240.0,1.0
7,prune_50,5,10.284299850463867,2967120.0,2.0
7,prune_75,5,10.420195579528809,1483560.0,4.0
7,prune_90,5,10.39883041381836,593423.9999999999,10.000000000000002
7,quant8,5,10.33077621459961,1483560.0,4.0
7,celo,6,10.221589088439941,7121088.0,1.0
7,prune_50,6,10.149532318115234,3560544.0,2.0
7,prune_75,6,10.179877281188965,1780272.0,4.0
7,prune_90,6,10.100802421569824,712108.7999999998,10.000000000000002
7,quant8,6,10.144851684570312,1780272.0,4.0
7,celo,7,10.164132118225098,8307936.0,1.0
7,prune_50,7,10.12884521484375,4153968.0,2.0
7,prune_75,7,10.059036254882812,2076984.0,4.0
7,prune_90,7,10.261085510253906,830793.5999999999,10.000000000000002
7,quant8,7,10.045743942260742,2076984.0,4.0
