dataset,run,step,optimizer,train_loss,val_loss
TransformerLM_LM1B_MultiRuntime_0,0,7,celo_int4,10.418327331542969,10.614566802978516
TransformerLM_LM1B_MultiRuntime_0,0,8,celo_fp32,9.819540977478027,9.652494430541992
TransformerLM_LM1B_MultiRuntime_0,0,8,celo_bf16,9.830158233642578,9.709556579589844
TransformerLM_LM1B_MultiRuntime_0,0,8,celo_fp16,9.839667320251465,9.762086868286133
TransformerLM_LM1B_MultiRuntime_0,0,8,celo_fp8_e4m3fn,9.847030639648438,9.758021354675293
TransformerLM_LM1B_MultiRuntime_0,0,8,celo_fp8_e5m2,9.71113109588623,9.83327865600586
TransformerLM_LM1B_MultiRuntime_0,0,8,celo_int8,9.984304428100586,9.666770935058594
TransformerLM_LM1B_MultiRuntime_0,0,8,celo_int4,10.10390853881836,9.998649597167969
TransformerLM_LM1B_MultiRuntime_0,0,9,celo_fp32,10.378701210021973,9.786054611206055
TransformerLM_LM1B_MultiRuntime_0,0,9,celo_bf16,10.434527397155762,9.837272644042969
TransformerLM_LM1B_MultiRuntime_0,0,9,celo_fp16,10.455954551696777,10.07927131652832
TransformerLM_LM1B_MultiRuntime_0,0,9,celo_fp8_e4m3fn,10.498771667480469,9.783660888671875
TransformerLM_LM1B_MultiRuntime_0,0,9,celo_fp8_e5m2,10.249000549316406,9.819154739379883
TransformerLM_LM1B_MultiRuntime_0,0,9,celo_int8,10.45126724243164,9.945837020874023
TransformerLM_LM1B_MultiRuntime_0,0,9,celo_int4,10.465052604675293,10.039326667785645
TransformerLM_LM1B_MultiRuntime_0,0,10,celo_fp32,10.323939323425293,9.86877155303955
TransformerLM_LM1B_MultiRuntime_0,0,10,celo_bf16,10.288469314575195,9.835403442382812
TransformerLM_LM1B_MultiRuntime_0,0,10,celo_fp16,10.375471115112305,9.767542839050293
TransformerLM_LM1B_MultiRuntime_0,0,10,celo_fp8_e4m3fn,10.17233657836914,9.772768020629883
TransformerLM_LM1B_MultiRuntime_0,0,10,celo_fp8_e5m2,10.291849136352539,9.943082809448242
TransformerLM_LM1B_MultiRuntime_0,0,10,celo_int8,10.128933906555176,9.862227439880371
TransformerLM_LM1B_MultiRuntime_0,0,10,celo_int4,10.486106872558594,10.192092895507812
TransformerLM_LM1B_MultiRuntime_0,0,11,celo_fp32,9.971267700195312,9.411466598510742
TransformerLM_LM1B_MultiRuntime_0,0,11,celo_bf16,9.923078536987305,9.25302791595459
TransformerLM_LM1B_MultiRuntime_0,0,11,celo_fp16,10.048988342285156,9.331220626831055
TransformerLM_LM1B_MultiRuntime_0,0,11,celo_fp8_e4m3fn,10.029956817626953,9.634894371032715
TransformerLM_LM1B_MultiRuntime_0,0,11,celo_fp8_e5m2,9.968293190002441,9.397048950195312
TransformerLM_LM1B_MultiRuntime_0,0,11,celo_int8,9.936227798461914,9.251699447631836
TransformerLM_LM1B_MultiRuntime_0,0,11,celo_int4,10.254772186279297,9.83746337890625
TransformerLM_LM1B_MultiRuntime_0,0,12,celo_fp32,9.939916610717773,9.170513153076172
TransformerLM_LM1B_MultiRuntime_0,0,12,celo_bf16,10.0891695022583,9.246445655822754
TransformerLM_LM1B_MultiRuntime_0,0,12,celo_fp16,10.07757568359375,9.297076225280762
TransformerLM_LM1B_MultiRuntime_0,0,12,celo_fp8_e4m3fn,10.221397399902344,9.095756530761719
TransformerLM_LM1B_MultiRuntime_0,0,12,celo_fp8_e5m2,9.961851119995117,9.301728248596191
TransformerLM_LM1B_MultiRuntime_0,0,12,celo_int8,10.135948181152344,9.203298568725586
TransformerLM_LM1B_MultiRuntime_0,0,12,celo_int4,10.325252532958984,9.647270202636719
TransformerLM_LM1B_MultiRuntime_0,0,13,celo_fp32,9.431337356567383,10.536355018615723
TransformerLM_LM1B_MultiRuntime_0,0,13,celo_bf16,9.604910850524902,10.409333229064941
TransformerLM_LM1B_MultiRuntime_0,0,13,celo_fp16,9.7056303024292,10.552970886230469
TransformerLM_LM1B_MultiRuntime_0,0,13,celo_fp8_e4m3fn,9.521717071533203,10.525047302246094
TransformerLM_LM1B_MultiRuntime_0,0,13,celo_fp8_e5m2,9.470575332641602,10.584696769714355
TransformerLM_LM1B_MultiRuntime_0,0,13,celo_int8,9.52558708190918,10.547711372375488
TransformerLM_LM1B_MultiRuntime_0,0,13,celo_int4,9.896270751953125,10.696146011352539
TransformerLM_LM1B_MultiRuntime_0,0,14,celo_fp32,8.935104370117188,9.048763275146484
TransformerLM_LM1B_MultiRuntime_0,0,14,celo_bf16,8.844505310058594,9.023735046386719
TransformerLM_LM1B_MultiRuntime_0,0,14,celo_fp16,8.837774276733398,8.792160034179688
TransformerLM_LM1B_MultiRuntime_0,0,14,celo_fp8_e4m3fn,8.946739196777344,8.864117622375488
TransformerLM_LM1B_MultiRuntime_0,0,14,celo_fp8_e5m2,8.89980697631836,8.805212020874023
TransformerLM_LM1B_MultiRuntime_0,0,14,celo_int8,8.991482734680176,8.794179916381836
TransformerLM_LM1B_MultiRuntime_0,0,14,celo_int4,9.55056095123291,9.507251739501953
TransformerLM_LM1B_MultiRuntime_0,0,15,celo_fp32,8.097128868103027,8.41364860534668
TransformerLM_LM1B_MultiRuntime_0,0,15,celo_bf16,7.9792280197143555,8.239856719970703
TransformerLM_LM1B_MultiRuntime_0,0,15,celo_fp16,8.151532173156738,8.30162525177002
TransformerLM_LM1B_MultiRuntime_0,0,15,celo_fp8_e4m3fn,8.082868576049805,8.734786033630371
TransformerLM_LM1B_MultiRuntime_0,0,15,celo_fp8_e5m2,8.105424880981445,8.501424789428711
TransformerLM_LM1B_MultiRuntime_0,0,15,celo_int8,8.037699699401855,8.625282287597656
TransformerLM_LM1B_MultiRuntime_0,0,15,celo_int4,8.947427749633789,8.857399940490723
